Timestamp,Download_Mbps,Upload_Mbps,Ping(Idle)_Latency_ms,Ping(Idle)_Jitter_ms,Packet_Loss,Server_Name,Server_Location,Download_Latency_ms,Upload_Latency_ms,Result_URL
"09/26 12:20:37",68.154392,26.6618,67.87,11.849,0.3333333333333333,"IPA CyberLab","Bunkyo",58.225,41.875,"https://www.speedtest.net/result/c/0c400500-0127-447d-a5f7-0afdf003adf9"
"09/26 12:30:35",76.768232,20.795424,43.93,2.76,13,"IPA CyberLab","Bunkyo",43.239,33.657,"https://www.speedtest.net/result/c/f0dda492-69f8-40f5-ba2f-95c9dff96a76"
"09/26 12:40:36",55.555416,28.833,48.93,18.652,0.3333333333333333,"IPA CyberLab","Bunkyo",51.884,36.255,"https://www.speedtest.net/result/c/2d865632-4c00-4920-860c-fa1ae9939b5b"
"09/26 12:50:31",76.809016,33.390848,39.949,0.065,31,"IPA CyberLab","Bunkyo",50.734,38.687,"https://www.speedtest.net/result/c/a560a88e-f19d-4648-8b66-5f178ee9fbe7"
"09/26 13:00:30",59.319616,35.803904,38.678,7.657,8.333333333333334,"IPA CyberLab","Bunkyo",47.418,45.925,"https://www.speedtest.net/result/c/b407e139-04c2-41a4-9f6c-08163e9d071f"
"09/26 13:10:23",77.212464,21.943992,67.993,34.031,0,"IPA CyberLab","Bunkyo",43.43,30.53,"https://www.speedtest.net/result/c/2c905ed2-cea0-47d5-baba-49c6e31738d7"
"09/26 13:20:24",52.441824,24.085776,34.324,8.308,0,"IPA CyberLab","Bunkyo",43.979,39.671,"https://www.speedtest.net/result/c/0106309c-97cd-45a2-9c4a-bd9c7e095efd"
"09/26 13:30:25",75.46988,24.89892,33.866,11.643,30.597014925373134,"IPA CyberLab","Bunkyo",47.859,37.918,"https://www.speedtest.net/result/c/3fc1887a-4ce0-46ad-b590-bf1fe832bdfd"
"09/26 13:40:19",87.519552,43.463032,34.04,12.483,1.0869565217391304,"IPA CyberLab","Bunkyo",85.336,33.15,"https://www.speedtest.net/result/c/c6a0ff44-b98f-424c-b27a-42a1df4a88f2"
"09/26 13:50:33",80.969752,40.781296,34.284,3.808,0,"IPA CyberLab","Bunkyo",49.25,35.066,"https://www.speedtest.net/result/c/812fd075-31ce-466a-9499-8152c0840d3f"
"09/26 14:00:16",34.283152,29.076888,37.772,4.227,0,"IPA CyberLab","Bunkyo",40.151,41.8,"https://www.speedtest.net/result/c/09304caf-8749-47fc-ad3f-a8359bcd4533"
